Movie Name,Year,Duration,Rating
Det sjunde inseglet,1957,96 min,8.1
All Quiet on the Western Front,1930,152 min,8.1
The Iron Giant,1999,86 min,8.1
Hotel Rwanda,2004,121 min,8.1
Amores perros,2000,154 min,8.1
In the Name of the Father,1993,133 min,8.1
The Man Who Shot Liberty Valance,1962,123 min,8.1
The Third Man,1949,104 min,8.1
Rebecca,1940,130 min,8.1
On the Waterfront,1954,108 min,8.1
Persona,1966,85 min,8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,8.1
Festen,1998,105 min,8.1
Mary and Max.,2009,92 min,8.1
Les quatre cents coups,1959,99 min,8.1
It Happened One Night,1934,105 min,8.1
The Grapes of Wrath,1940,129 min,8.1
The Message,1976,177 min,8.1
Trois couleurs: Rouge,1994,99 min,8.1
Yi yi,2000,173 min,8.1
Ba wang bie ji,1993,171 min,8.1
Paper Moon,1973,102 min,8.1
PK,2014,153 min,8.1
The Red Shoes,1948,135 min,8.1
Smultronstället,1957,91 min,8.1
Underground,1995,170 min,8.1
Sunrise: A Song of Two Humans,1927,94 min,8.1
Andrei Rublev,1966,205 min,8.1
Fanny och Alexander,1982,188 min,8.1
Inherit the Wind,1960,128 min,8.1
Mr. Smith Goes to Washington,1939,129 min,8.1
Bajrangi Bhaijaan,2015,163 min,8.1
A Woman Under the Influence,1974,155 min,8.1
La battaglia di Algeri,1966,121 min,8.1
Ôkami kodomo no Ame to Yuki,2012,117 min,8.1
Kakushi-toride no san-akunin,1958,139 min,8.1
Lagaan: Once Upon a Time in India,2001,224 min,8.1
Kis Uykusu,2014,196 min,8.1
Kumonosu-jô,1957,110 min,8.1
The General,1926,67 min,8.1
Les diaboliques,1955,117 min,8.1
Höstsonaten,1978,99 min,8.1
Jean de Florette,1986,120 min,8.1
Masaan,2015,109 min,8.1
White Heat,1949,114 min,8.1
Le notti di Cabiria,1957,110 min,8.1
Hera Pheri,2000,156 min,8.1
Da hong denglong gaogao gua,1991,125 min,8.1
Ace in the Hole,1951,111 min,8.1
The Gold Rush,1925,95 min,8.1
Dil Chahta Hai,2001,183 min,8.1
Du rififi chez les hommes,1955,118 min,8.1
Jungfrukällan,1960,89 min,8.1
Barfi!,2012,151 min,8.1
La Grande Illusion,1937,113 min,8.1
Rang De Basanti,2006,167 min,8.1
Pink,III 2016,136 min,8.1
Talvar,2015,132 min,8.1
Dom za vesanje,1988,142 min,8.1
Queen,2013,146 min,8.1
Mandariinid,2013,87 min,8.1
Udaan,2010,134 min,8.1
Chak De! India,2007,153 min,8.1
Black,2005,122 min,8.1
Article 15,2019,130 min,8.1
The Circus,1928,72 min,8.1
Sarfarosh,1999,174 min,8.1
Sholay,1975,204 min,8.1
Anand,1971,122 min,8.1
Munna Bhai M.B.B.S.,2003,156 min,8.1
A Wednesday,2008,104 min,8.1
OMG: Oh My God!,2012,125 min,8.1
Eskiya,1996,128 min,8.1
Kahaani,2012,122 min,8.1
Her Sey Çok Güzel Olacak,1998,107 min,8.1
Dune: Part One,2021,155 min,8.0
Blade Runner 2049,2017,164 min,8.0
Black Swan,2010,108 min,8.0
Guardians of the Galaxy,2014,121 min,8.0
Deadpool,2016,108 min,8.0
La La Land,2016,128 min,8.0
The Princess Bride,1987,98 min,8.0
Her,2013,126 min,8.0
Donnie Darko,2001,113 min,8.0
Dances with Wolves,1990,181 min,8.0
The Avengers,2012,143 min,8.0
Zack Snyder's Justice League,2021,242 min,8.0
Zootopia,2016,108 min,8.0
The Martian,2015,144 min,8.0
The Revenant,2015,156 min,8.0
Casino Royale,2006,144 min,8.0
CODA,2021,111 min,8.0
Sin City,2005,124 min,8.0
The Incredibles,2004,115 min,8.0
Rain Man,1988,133 min,8.0
The Bourne Ultimatum,2007,115 min,8.0
Scent of a Woman,1992,156 min,8.0
The Imitation Game,2014,114 min,8.0
Planet of the Apes,1968,112 min,8.0
Aladdin,1992,90 min,8.0
Twelve Monkeys,1995,129 min,8.0
Soul,2020,100 min,8.0
Magnolia,1999,188 min,8.0
Big Fish,2003,125 min,8.0
Ip Man,2008,106 min,8.0
Life of Brian,1979,94 min,8.0
Slumdog Millionaire,2008,120 min,8.0
Beauty and the Beast,1991,84 min,8.0
